sample_size,sample_method,kernel,alpha,MSE of GPR,MSE of LS Paraboloid Fit,Integral Absolute Error of GPR,Integral Absolute Error of LS Paraboloid Fit
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-06,0.0009731555358499025,0.002031889754522105,2.148456324060691,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-20,0.0009796243512110374,0.002031889754522105,2.1511046142003822,3.447983411154678
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693848980138603,0.002031889754522105,1.2365508204129778,3.447983411154678
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,0.000979617674450288,0.002031889754522105,2.1511019464128136,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-05,0.0009282778455530627,0.002031889754522105,2.124606541351868,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-10,0.000979623672959914,0.002031889754522105,2.1511043502728273,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693847059901386,0.002031889754522105,1.2365507803339766,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569385274904098,0.002031889754522105,1.2365509286157559,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569385338667627,0.002031889754522105,1.2365509556580978,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569384826558378,0.002031889754522105,1.2365508457389516,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-15,0.0009796243516197096,0.002031889754522105,2.151104607645558,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693849460439927,0.002031889754522105,1.2365508569153671,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",100,0.16962139644160937,0.002031889754522105,34.57956654589163,3.447983411154678
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",1,0.013735041459864195,0.002031889754522105,8.81322756091465,3.447983411154678
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.1,0.0032798005464856578,0.002031889754522105,4.47397565204448,3.447983411154678
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",0.01,0.0006193172462812868,0.002031889754522105,1.7832118284818304,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",10,0.16961979146092807,0.002031889754522105,34.579381617435196,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.000356938546115861,0.002031889754522105,1.236550983877622,3.447983411154678
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.0006833378377182855,0.002031889754522105,1.8619800132092046,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-07,0.0009789520383885228,0.002031889754522105,2.1508405236366253,3.447983411154678
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-08,0.000979556841133945,0.002031889754522105,2.1510782071026324,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-06,0.0009731555188587214,0.002031889754522105,2.148456312652124,3.447983411154678
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569385264446648,0.002031889754522105,1.236550944087996,3.447983411154678
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-05,0.0009282778479071763,0.002031889754522105,2.124606556850004,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-20,0.0009796243373312368,0.002031889754522105,2.15110460643792,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569384874298721,0.002031889754522105,1.2365508618559438,3.447983411154678
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-10,0.0009796236905846706,0.002031889754522105,2.151104338822816,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,0.0009796175798416212,0.002031889754522105,2.1511020156057397,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.1,0.003279800606236997,0.002031889754522105,4.4739756978174725,3.447983411154678
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",100,0.16962147252873708,0.002031889754522105,34.57957582880241,3.447983411154678
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-15,0.0009796244546627945,0.002031889754522105,2.151104536333035,3.447983411154678
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",1,0.013735041259316317,0.002031889754522105,8.813227494180028,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693845737271495,0.002031889754522105,1.2365508080889067,3.447983411154678
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.01,0.0006193172615046978,0.002031889754522105,1.7832118326333013,3.447983411154678
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",10,0.16961982421641592,0.002031889754522105,34.57938563429763,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693852713337347,0.002031889754522105,1.236550930140872,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.0006833379268599766,0.002031889754522105,1.8619801035004575,3.447983411154678
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-07,0.0009789520590643313,0.002031889754522105,2.1508405376044495,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569384209033129,0.002031889754522105,1.2365507124332442,3.447983411154678
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-08,0.0009795568307367222,0.002031889754522105,2.151078211202977,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-06,0.0009731555382350794,0.002031889754522105,2.14845632910442,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-20,0.000979624345114106,0.002031889754522105,2.1511046191012433,3.447983411154678
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-05,0.0009282778206805724,0.002031889754522105,2.1246065713646067,3.447983411154678
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569385320515996,0.002031889754522105,1.2365509145904305,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,0.0009796175962358477,0.002031889754522105,2.1511019751574763,3.447983411154678
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-10,0.0009796236744632507,0.002031889754522105,2.151104350586257,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",100,0.1696213932006658,0.002031889754522105,34.57956597072061,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-15,0.0009796243385738982,0.002031889754522105,2.1511046439051036,3.447983411154678
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569385068954894,0.002031889754522105,1.2365508730907326,3.447983411154678
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",0.1,0.0032798006774430576,0.002031889754522105,4.47397576298118,3.447983411154678
